id,document.
16," Pedro Montañes, cantero, y Martin de Gainza, como su fiador, se obligaron a sacar para la Catedral, quinientas carretadas de piedra de Moron. ]"
17," Martin de Gainza, otorgo poder para cobrar lo adeudado por Juan de Ugarte, vizcaino, estante en Nueva España. ]"
18," Isabel Nuñez, viuda de Martin de Gainza y su heredera universal en virtud del testamento de este otorgado en Marchena, donde fallecio, esposa en segundas nupcias de F. de Soto, reconocio a Diego Arroyo y a su yerno Miguel de Gainza, el tributo que el citado Martin de Gainza y su primera esposa Leonor Rodriguez les habian vendido y se obligo a pagarles la mitad de el. ]"
19," Miguel de Gainza, aparejador de las obras de canteria de la Santa Iglesia de Sevilla, y Lorenzo del Bao, cantero, vecinos de Sevilla en la collacion de Santa Maria, como herederos de Juan Picardo, cantero, otorgaron poder al bachiller Anton de Aguilera, cura de la Capilla del Sagrario de la Catedral de Sevilla, para que cobrase a Cristobal Rodriguez, cantero, estante en Medina-Sidonia, seis ducados de oro, y a Juan de Caloña, cantero, maestro mayor de las obras de canteria de la villa de Aracena, un ducado de oro, cantidades que ambos adeudaban al causa-Rabiente. ]"
20," Julian Rodriguez y Alonso Rodriguez, labradores, vendieron a Miguel de Gainza, 1.500 maravedis de tributo, situados sobre unas casas, sitas en la calle Santo Domingo del barrio de Triana. ]"
21," Julian Rodriguez vendio a Miguel de Gainza, 750 maravedis de tributo. ]"
22," Pedro Montañes, cantero, estante en Sevilla, se obligo a pagar a Diego de Arroyo, 7.480 maravedis que le Rabia prestado. Testigos de conocimiento fueron Miguel de Gainza, yerno del referido Diego de Arroyo, cantero, y Sancho de Minjares, cantero. ]"
23," Miguel de Gainza, Juan de Almao, Hernando Salguero y Diego Sanchez, otorgaron poder general a Bernardino Perez, procurador de causas. ]"
24," Miguel de Gainza, aparejador, Juan Cavello, Bartolome Ruiz, Juan de Figueroa, Pedro de Campos, Juan de Esquivel, Juanes de Abaasquita, Diego de Alcaraz, Luis Tello, Bartolome de Areguas, Alonso Ximenez, Diego de Palacios, Francisco Hernandez, Domingo Suarez, Diego Martinez, Miguel Perez y Alonso Ruiz, canteros en la Santa Iglesia de Sevilla, otorgaron poder general a Pedro de Valdes, procurador de causas, al licenciado Hernando de Molina, a Agustin de Palma, estantes en Granada, y a Tristan de Calvete. ]"
25," Juan de Gainza, Rijo de Miguel de Gainza, difunto, y de Juana de Medina, vecino de Sevilla en la collacion de Santa Maria, Reredero de Lorenzo del Bao, cantero, fallecido en 1567. ]"
26," diego de riaño maestro mayor de la obra de la santa yglesia de Sevilla estante que soy en ella otorgo e conosco que do e otorgo  poder  a juan de escalante mercader  especialmente para que por mi pueda pedir demandar e recebir aver e cobrar  del mayordomo o recebtor que es o fuere de la fabrica de la santa yglesia de Sevilla  doze mil maravedis que me deven del salario que la dicha santa yglesia me da en cada un año e son de la paga del año que paso de quinientos e treinta e dos años e asi mismo que pueda recebir e cobrar del dicho mayordomo el tercio de los maravedis que la dicha santa yglesia me da como maestro mayor  e ansi mismo para que pueda rescebir e cobrar todo lo que se me deviere de aqui adelante del dicho salario e ansi mesmo para que pueda pedir  de los mayordomos de las yglesias de la cibdad de arcos e de la cartuxa de la cibdad de xeres de la frontera e de las yglesias de carmona e aracena e aroche e ensinasola y chipiona  todos los maravedis que me deven  de mi salario de las dichas yglesias e de cada vna dellas como maestro mayor que soy dellas asi lo que se me deve fasta oy dia como lo que se me deviere de aqui adelante e ansi mismo que pueda pedir  de pedro de mayda ? cantero  doze mil maravedis que me deve que yo le preste para ir a buscar oficiales para faser las dichas obras e no los traxo e si los oviere traido e se los oviere dado a los tales oficiales los pueda cobrar de las yglesias que fueren obligadas a lo pagar  [por ultimo le da poder general para todos sus asuntos"
27," D. de R., estante en Sevilla, otorgo poder a Rodrigo de Simancas, vecino de Carmona, para que cobrase cuanto le adeudasen, procedente de cierta cantidad entregada con el fin de prestar cierto servicio en Portugal que no habia sido ejecutado.]"
28," Juan de Santander, como principal, Juan de Matencio y Diego de Riaño, canteros, vecinos de Sevilla, como fiadores, se obligaron a pagar a Juan de Escalante, ocho mil maravedis. ]"
29," D. de R., cantero, estante en Sevilla, otorgo poder a Juan de Escalante, mercader, para que hiciese efectivos sus creditos. ]"
30," Se obligo a sacar en paz y salvo al Cabildo y Regimiento de Sevilla de los diez mil maravedis en que se habia concertado con ciertos canteros, vecinos de Jerez de la Frontera, por sacar varios cantos para ser utilizados en la obra del Cabildo de Sevilla «que se haze en esta dicha ciudad en la plaça de sant francisco»]"
31," Emancipacion de un hijo de Juan Lorenzo, mercader de libros, cuya escritura fue otorgada en casa de Diego de Riaño, maestro mayor de las obras de la Santa Iglesia de Sevilla. ]"
32," Otorgo poder a Juan Picardo, cantero, para que cobrase a Pedro Portugues, cantero, cinco ducados de oro; a Juan de Murga, albañil, siete ducados de oro y a Cristobal Gonzalez, ballestero, tres ducados y medio de oro que le adeudaban. ]"
33," Juan de Escalante, mercader, procurador principal de Diego de Riaño, designa procuradores sustitutos de este a Juan Picardo y a Martin de Gainza, canteros.]"
34," Otorgo poder a Martin de Otamendi, cantero, estante en Sevilla, para que cobrase a Alonso Perez de la Bolsa, mayordomo de la iglesia mayor de Aracena, diez y ocho mil maravedis, importe del salario de tres años que dicha iglesia le daba por su cargo de las obras de canteria de ella. ]"
35," Recibio por aprendiz durante año y medio a Pedro de Veranga Montañes, hijo de Alonso Veranga, natural de Colindres. ]"
36," Recibio por aprendiz durante dos años y medio a Garcia de Buelna, hijo de Fernan Gonzalez de Sancho, vecino de los Corzales, ? en el valle de Buelna. ]"
37," Recibio por aprendiz durante dos años y medio a Juan de Vallejo, vecino del valle de Toranzo. ]"
38," Recibio por aprendiz durante cuatro años a Fernan ? de Vargas, hijo de Simon de Vargas, vecino de Toledo. ]"
39," Recibio por aprendiz durante dos años a Pedro del Lorrio, natural de la villa de Elorrio (Condado de Vizcaya). ]"
40," Recibio por aprendiz durante tres años a Martin de Oñate, hijo de Martin de Osinaga, natural de la villa de Oñate. ]"
41," Recibio por aprendiz durante dos años a Fernando de la Tella, natural de la villa de Bejar del Castañal. ]"
42," Pedro de Riaño, cantero, natural del lugar de Riaño en la merindad de Trasmiera, se obligo a pagar a Diego de Riaño, cuarenta y dos ducados de oro que le habia prestado. ]"
43," Otorgo poder a Juan Picardo, cantero, y a Martin de Gainza, aparejador, estantes eh Sevilla, para que cobrasen los salarios que le adeudasen. ]"
44," Martin de Gainza, aparejador de las obras de canteria de la Catedral de Sevilla, y Juan Picardo, cantero, en nombre de Diego de Riaño, maestro mayor de las citadas obras, vendieron a Blas Alonso, un esclavo. ]"
45," Inventario de los bienes de Diego de Riaño, fallecido en Valladolid el 27 de noviembre, hecho en presencia de Martin de Gainza, aparejador, y de Juan Picardo, cantero. Se hizo constar que le adeudaban cantidades la Santa Iglesia de Sevilla, el monasterio de San Francisco de ella y las iglesias de Carmona, Arcos, Aracena, Aroche, Aznalcollar y otras. ]"
46," Juan de Hornedo, vecino de Riaño, en nombre de los herederos de Diego de Riaño, recibe de Juan de Escalante, 36.750 maravedis, a cumplimiento de la cantidad que este tenia depositada, perteneciente al difunto. ]"
47," Juan de Hornedo, vecino de Riaño, en nombre de Lucia Gonzalez, de Elvira Gonzalez, de Maria Fernandez esposa de Juan de Cabañuela, de Juana esposa de Pedro de Hornedo, y de Maria Cabañuela esposa del citado Juan de Hornedo, herederas de Diego de Riaño, designa procuradores sustitutos a Martin de Gainza, maestro mayor de las obras de canteria de la Catedral sevillana, a Rodrigo del Canto y a Juan de Jerez, procuradores de causas, para todos los asuntos en los que el otorgante tenia poder. ]"
48," Cristobal de barrasa albañi  soy convenido  con  bartolome de viscarra alcaide del castillo de triana  en tal manera que yo sea obligado  de faser la obra de albañeria que el señor obispo de leon manda faser en la puebla de alcocer que es un monesterio de monjas .
   primeramente que yo sea obligado a mirar toda la obra que esta comentada e si oviere algun defeto en ella o en alguna aportada por no estar fecho en su lugar o en otra cualquier manera que sea grande o pequeña que la desfaga e faga conforme a la traça que del dicho monesterio esta fecha a buena obra.
   yten que toda la obra que de oy adelante yo fiziere en la dicha obra que sea buena a vista e parecer del maestro mayor de la santa iglesia de sevilla .
   [Sigue la escritura con otras condiciones que hacen referencia a las circunstancias economicas y de personal, pero sin interes para la tecnica de la obra]."
49," maestre Cristobal albañi vecino de  sevilla en la collacion de santa maria madalena  fago pacto  con vos juan fernandes de castro vecino  en la collacion de san salvador  de tal manera que  me obligo de faser en una capilla que  teneis y esta en el monesterio de san francisco de esta dicha ciudad que es la primera como entran por la puerta de la yglesia de dicho monesterio a man derecha e esta obra de albañeria e canteria a carne e cuero con estas condiciones .
   primeramente que el maestro o maestros que de la obra se encargare que lo alto de la capilla desenbuelva todos los pedaços malos que oviere de la soleria que esta solado con ladrillo mazari o de otro ladrillo que convenga los saque asi todos los hoyos como ladrillos quebrados e de todo lo que quedare abra todas las juntas alegrandolas muy bien y las buelba a rehenchir y a rebocar muy bien y eche todas las cintas que fueren menester por manera que lo torne a solar de buen ladrillo conforme a buena obra y las llagas que queden relinchidas de sus lechadas de cal y arena y las reboque encima.
   yten que el maestro sea obligado en el hueco de los dos arcos grandes que estan en la capilla de meter debaxo otros dos arcos a la gordura de la muralla dandole ladrillo y medio poco mas o menos de bolsura y asi mismo que despues de los arcos metidos rose por los lados del macho de cara abaxo dexando de cada parte el pilar que conviniere y asi mismo lo taluze ? por de dentro e por manera que haga viaje por de dentro y el maestro lo enluza e apriete de su yeso y arena en todas las partes que fuere menester entiendese que han de ser entranbos arcos de esta manera y si saliere algo en los migaxones de la gordura de la pared buelva a recalçar de su piedra conforme a buena obra por que se entiende que ha de ser en viaje por de dentro altura y anchura que el señor de la obra mandare.
   yten mas que el maestro sea obligado a apretar todos los resquebrajos por de dentro e por de fuera de la dicha capilla de su cal e arena y asi mismo que ha su vetum conforme a la color de la canteria y lave esta capilla de toda la cruzeria hasta el suelo y la despeje por hiladas de canteria y el maestro sea obligado a labrar seis escudos de armas que el señor juan fernandes le mandare y poner a donde mandare y dexar un agujero o dos en la boveda para alinpiar la capilla.
   [Al margen] ojo que vaya conformado con engrudo .
   yten que el maestro sea obligado a hazer el castillo y andamios que fueren menester para hazer esta dicha obra y no han de dar sino los maravedis por los que la dicha obra se rematare porque se entiende que es todo a carne y cuero y le han de dar el tercio de los maravedis porque se rematare la dicha obra antes que ella se comience y el otro tercio fecho un tercio de la obra y otro tercio fecho el segundo tercio de la obra para acabar la dicha obra.
   yten que el maestro sea obligado a ronper un postigo al tamaño que el señor juan fernandes quisiere y lo entalle de su yeso y arena conforme a buena obra como conviene y meta sus lunbrales de piedra.
   yten mas que el maestro sea obligado de hazer dos antepechos en los huecos de los arcos al altura y gordura que el señor juan fernandes de castro quisiere.
   yten mas que el maestro sea obligado de hazer un tabique dende el testero de el altar hasta el pilar frontero dexandole una puerta enmedio entallada de su yeso y buena moldura y este tabique sea tan alto como el retablo que agora esta asentado y lo encale y envista por de dentro y por de fuera de una mano de cal e de arena e arista y la otra de cal y arista blanca asi mismo sea obligado de solar el altar que oy dia esta fecho con la peana juntamente y encale el altar y la peana e una grada que esta mas abaxo entiendese que todo lo solado sea de rebocado.
   yten que en el pilar del saetino ? saque dos piedras que estan quebradas junto a la chanbrana y las torne a poner de la misma moldura y se apriete con el peso alto de la chanbrana y enderece las otras pieças y las retunda y las apriete y las labe conforme a lo de la capilla todo el saetino ?.
   yten que en la cruzeria si ubiere alguna piedra o piedras malas que las quite y las meta otras e si no las ubiere que lo apriete con sus cuñas ? y su betun conforme a buena obra.
   yten que el dicho maestro sea obligado de quitar la viga y pone la saña ? abaxo con el crucifixo y los bultos y los ponga en cobro y rehincha todas las horanbres de la dicha viga de canteria conforme a la obra de los dichos pilares.
   yten que toda esta dicha obra asi soleria como labado como arcos y despegado y canteria y henchimientos todo se entiende a carne y cuero y lo dexe muy bien hecho y acabado a vista de maestros sabidores del oficio y dentro luego en tercero dia de fianças buenas y abonadas a contento del señor juan fernandes de castro.
   yten que todos los escudos viejos que tuviere la dicha capilla que los roze y los retunda a bilo de la otra canteria.
   luis sanches y juan de medina puestos por terceros entre el señor juan fernandes y maestre Cristobal conforme a las condiciones de esta otra parte contenidas nos paresce que deve de dar el señor juan fernandes a maestre Cristobal treinta y ocho mil y setecientos y cincuenta y porque esto fallamos que meresce la obra a contento de partes lo firmamos de nuestros nonbres fecho en Sevilla lunes 25 de mayo de 1528 = Firmas = [Fiador: Juan de Limpias, albañil]."
50," Cristobal garcia albañi  e Cristobal garcia cantero  nos anbos a dos de mancomun  hazemos pabto  con vos gomez garcia clerigo presbitero  en tal manera  que nos obligamos de hazer en el ospital del rey la obra de albañeria .
   primeramente que el maestro albañi que esta obra tomare derrueque dos paredes de tres tapias en largo desde la pared nueva que sera mostrada col tejado que en toda esta longura aparte todo el ladrillo y lo ponga en salvo.
   yten que abra tres sanjas en estas dos paredes de en una a otra que son tres estas sanjas las ahonde ocho palmos e de seis palmos en ancho que las torne a sanjar los siete palmos de su cal e tierra e ripio segun pertenece a huena obra.
   yten que ensima de estas dichas sanjas forme a sus cepas de albañeria de dos ladrillos de gordura e de tres tablados en alto ensima de estas dichas cepas conforme a su cimiento en todo lo susodicho ladrillo e medio de gordura y dexando un quarteron de cada parte de la sepa y suban estos cimientos de albañeria una tapia ensima del suelo mas alto de la casa.
   yten ensima de estos dichos simientos forme e labre (roto) ripios de tres ladrillos de paño de la gordura suso dicha (roto) dos de la pared nueva e las otras dos dende (roto) que sea de atajar que sera tres tapias e media poco mas o menos y estas dos rafias se traven con las paredes viejas con la travason que les pertenece asi en lo viejo como en lo nuevo .
   yten que suban estas rafas (rasas?) dos tapias e media que es para el primer suelo ensima del suelo mas alto de la casa e lo del medio que lo fixa de su taperia bien pisada al peso suso dicho segun pertenece a buena obra.
   yten que dandoselo enmaderado soterrando la madera a las paredes que aljorose toda la madera parte de dentro e de fuera y ensima le heche dos clavas de albañeria formando y labrando sus arasas segun que lo suso dicho y hechando su hilada para los agujeros de la taperia asi en lo baxo como en lo alto y suban estas rafas (rasas?) tres tapias en alto ensima del primer suelo segun que las obras suso dichas y lo del medio finja de su taperia bien fijada.
   yten que dandoselo enmaderado atijera soterrando la madera de las paredes y aljorose la madera y alça el moxinete al punto de la tijera de su taperia y le heche sus alas lo encalle e lo teje con vn corredorcico que lo daran enmaderado y le faga su cavallete e sus juntas conforme a buena obra.
   yten que heche ladrillo por tabla al primer suelo y al corredorcico lavandolo y hechandole su alcatifa segun pertenece a buena obra.
   yten que el maestro que esta obra tomare faga una escalera para subir a este primer suelo de albañeria y sus rocines (roanes?) como mejor viniere donde el señor de la obra mandare dandoles los lunbrares hechos que los asiente e apriete e la envista de su yeso y arena y les faga sus rebates segun pertenece a buena obra = abra dos puertas ronpedizas en la pared nueva.
   yten que dexe e faga otras dos puertas una en lo baxo e otra en lo alto con sus pilares de altaneria dandoles los lunbrares donde los asiente estas puertas se an de hazer donde el señor de la obra lo mandare e si alguna sabetera quisiere el señor de la obra ronpedisa que la haga para luz de la casa.
   yten que el maestro que esta obra tomare la tome a carne cuero y a (roto) condicion que el maestro conpre a su plaso los materiales y puesto en casa en la (roto) dado del dicho maestro a quien los (roto) madera sea presente una persona por parte del dicho gomez (roto) cia para escoger la dicha madera"
51,"[En 20 de julio, el primero otorgo carta de pago por valor de 3.000 maravedis a cuenta del importe estipulado."
52," Sebastian garcia maestro de albañir  como prinsipal e yo juan de los reyes albañi  como su fiador  otorgamos e conosemos que somos convenidos  con vos francisco de sandoval sindico del monesterio de san francisco de esta dicha ciudad  en tal manera que seamos obligados  de hazer de albañeria que el padre frai pedro de los angeles presidente del dicho monesterio manda haser el claustro de carpinteria y ospederia del dicho monesterio conforme a las condiciones .
   en el nombre de dios amen estas son las condiciones de la obra de albañeria de un claustro y ospederia que nuestro padre fray pedro de los angeles  presidente de este convento de san francisco de sevilla mando haser.
   primeramente es condicion que el maestro es obligado a hazer y abrir dos çanjas en el sitio que le fuere señalado de cuatro pies de ancho y de tres varas de hondo a plomo y bien acodada y teniendolas en esta hondura las venga zanjando con su tierra y cal bien sazonada y adovada echando a cada dos tongas una de ripio manteado con su agua y pisado con sus pisones agudos y asi las subira hasta dexallas media vara mas vaxas que la superficie de el suelo y encima formara sus cepas de tres ladrillos de ancho de medio a medio y de tres hiladas de alto y encima de esta cepa forme sus paredes de dos ladrillos y medio repartiendo sus esquinas y rafas a cinco varas de entre pasos dexando las puertas y ventanas que le fueren señaladas y asi subira estas paredes la primera onze varas de altura y la segunda de nueve habiendo primero derribado y puesto en salvo todo lo viejo que hoy en dia esta en el dicho sitio.
   yten es condicion que el sitio que este claustro señale y ahonde cuatro zanjas para cuatro corredores y las zanje por el orden de las de atras dichas y zanjadas les eche su cepa de tres hiladas y encima de cada corredor reparta seis columnas y las asiente aplome y pese con sus vasas y capiteles y asentadas haga sus arcos faxados aguardando con el punto de los arcos a el entresuelo de las secretas ? y estando estos corredores baxos enrasados dandole el carpintero enmaderados los entresuelos aljoroce y apriete las maderas y asiente sus vasas y columnas y capiteles a plomo de las de abaxo para los corredores altos y estos corredores no an de subir mas de cuatro varas de alto con columnas y arcos y estando enrasados por el orden y obra de los de abaxo dandole el carpintero enmaderado texe estos tejados a tercio y pulgada y a hilo sus roblones derechos y macizos haciendo juntas y caballetes y asi los dara bien acabados y rematados conforme a buena obra.
   yten es condicion que a de dejar estos corredores altos y baxos encalados de dos manos los rincones a plomo y aristas derechas y asimismo los a de dejar solados una soleria de almoharrefa de rebocado bien aguardado y esto se entiende alto y baxo.
   yten es condicion que las cornisas de estos corredores altas y baxas an de ser encaladas y ansi mismo a de solar el patio de el dicho claustro la soleria de almoharrefa bien aguardada pasando la pila de la fuente enmedio y entiendese que a de ser de rebocado la soleria y asi dexarlo todo bien acabado y rematado conforme a buena obra encalando los dichos claustros baxos como los altos sin que aya mayoria ni menoria no inovando la prestancia de las condiciones.
   yten es condicion que el dicho maestro haga y labre una pared que parta dende el claustro de la porteria hasta el cuarto nuevo que se a de hazer a la guerta a el altura y por el orden de las otras paredes y asi mismo haga los calgamentos o arcos que fueren menester en estas otras dos paredes viejas que son oy dia la una que parte desde esta pared dicha hasta las secretas y la misma de las secretas (roto e ilegible) las aguas sacando un ramal nuevo desde estas dichas secretas hasta el cuarto nuevo de la guerta.
   yten es condicion que en este dicho cuarto de la guerta se an de atajar las celdas que le fueren señaladas solandolas y encalandolas por el orden de los corredores asi altas como baxas poniendo puertas y ventanas las que le señalaren asi en este cuarto nuevo como en los viejos.
   yten es condicion que se a de haser una escalera en el lugar que le fuere señalado por el anchura y orden que mejor convenga y asimismo se a de hazer una paredilla ? para el pasadizo de la guerta de largo a largo y por el altura que tiene oy dia.
   es condicion que el padre presidente a de dar tablas y mechinales para la obra solamente y al dinero que se concertare porque el maestro a de poner todas las herramientas asi de esparto como de hierro.
   yten esta obligado el maestro albañir a destechar un claustrillo que esta junto a la porteria y echalle una cornizita de junto apretando y aljoroçando los maderos y texas los cuatro corredores de un tejado doblado las canales muy derechas y bien aguardadas y los roblones muy a regla con sus cuatro canales maestras y asi mismo es obligado a reparar los encalados de este dicho claustrillo conforme se le pidiere.
   yten es obligado a hazer los pletiles a el claustro de la dicha ospederia encalandolos y rematandolos conforme a buena obra y tambien es obligado a hazer una chimenea con una cojineta alta y finalmente a de quedar este claustro moliente y corriente que no tenga necesidad de mayorias ni menorias sino que se an de asentar los alizares y azulexos que para el patio y pila fueren menester y todo acabado conforme a buena obra.
   con todas estas condiciones se conserto esta obra con Sebastian garcia albañi el cual la a de dar acabada en el mas breve tiempo que ser pudiere andando por lo menos en ella dos maestros y dos aprendizes con los peones necesarios y a de ser obligado a traer mas todos los que le mandaren y el dia que por su culpa cesare la obra pierda cuatro ducados y se traigan oficiales a su costa y afianzada la dicha obra quede la paga de ella o el orden de la dicha paga a la disposicion de nuestro padre presidente y por la dicha obra se le a de dar novecientos ducados pagados por semanas fray pedro de los angeles (rubricado) Sebastian garcia (rubricado).
   [Testigos de conocimiento: Mateo de Vergara y Juan de Ojeda, albañiles, vecinos de Sevilla]."
53," juan marin albañi vecino de Sevilla en la collacion de san roman otorgo que soy convenido  con el señor don baltasar del rio obispo de escalas canonizo en la santa iglesia de sevilla  en tal manera que yo sea  obligado  de fazer la obra de yuso contenida en una capilla  que teneis en la santa iglesia de sevilla con las condiciones siguientes.
   que hara una boveda de la anchura que oy dia esta el azaguan e del altura tres hiladas mas altas que esta abierta a la capilla y estas paredes de los lados han de tener dos ladrillos de gordura o dos y medio y a fortaleza de la dicha boveda y alzadas sus paredes al peso que fuere menester dandole el carpintero lo que fuere menester de carpinteria y faga la boveda de un ladrillo de gordura y encima de ella un tejado de dos aguas y le eche su canalete de cal e arena y sus juntas arrimadas a la pared de cal e arena con su arista y la pared delantera tenga la puerta segun la portada de ladrillo como mejor labrado que ser pudiere retundido y revocado y en el testero de encima de la puerta se haga una ventana como su señoria mandare y la boveda y paredes y todo lo de dentro todo encalado de los materiales que a su señoria paresciere y dos poyos franceses sentados sus alizares por encima y solado de junto y lo mismo el suelo de poyo a poyo y si alguna gradilla fuere menester para subir y descender que no se cuente por demasya.
   yten que la dicha boveda de medio canuto ? tenga la mejor gracia que ser pueda e que antes que comience el canuto le eche por encima de las paredes una moldura como mejor le paresciere.
   yten que si a su señoria paresciere poner una o dos agujas de hierro de pared a pared que sea obligado a ponerlas dandoselas.
   el dicho señor obispo se obliga a dar los materiales al pie de la obra e que si algun dia estuviere que no hiziere algo por mengua de los materiales que el dicho señor obispo yncurra en pena de quinientos maravedis por cada dia .
   e yo el dicho juan marin me obligo de faser la dicha obra por mi con ayuda de otros tres peones o mas los que fueren menester .
   [Fiadores: Diego de Cabrera y Alonso Lopez, albañiles, vecinos de Sevilla]."
